Type: Chunk,cost: 0.116017, total cost: 17.171065
Type: Pos,cost: 0.088097, total cost: 22.479642
Type: Chunk,cost: 0.119285, total cost: 28.562118
Type: Pos,cost: 0.074035, total cost: 33.962278
Type: Pos,cost: 0.117717, total cost: 39.340904
Type: Chunk,cost: 0.071679, total cost: 44.807692
Type: Pos,cost: 0.153827, total cost: 50.233088
Epoch: 16 Training mean loss: 0.109
Epoch: 16 Validation mean loss 3.570
Epoch: 17
Type: Chunk,cost: 0.088063, total cost: 0.993159
Type: Chunk,cost: 0.120734, total cost: 5.690240
Type: Pos,cost: 0.084971, total cost: 10.868484
Type: Chunk,cost: 0.093633, total cost: 16.826830
Type: Chunk,cost: 0.163606, total cost: 22.214605
Type: Pos,cost: 0.111145, total cost: 28.455463
Type: Chunk,cost: 0.120687, total cost: 33.611464
Type: Pos,cost: 0.091299, total cost: 39.028771
Type: Pos,cost: 0.165459, total cost: 44.284973
Type: Pos,cost: 0.119576, total cost: 49.224178
Epoch: 17 Training mean loss: 0.107
Epoch: 17 Validation mean loss 3.296
Epoch: 18
Type: Chunk,cost: 0.061206, total cost: 1.027755
Type: Pos,cost: 0.080904, total cost: 5.682527
Type: Chunk,cost: 0.089801, total cost: 10.948368
Type: Chunk,cost: 0.073964, total cost: 16.410833
Type: Pos,cost: 0.084189, total cost: 21.411104
Type: Pos,cost: 0.093643, total cost: 26.942931
Type: Chunk,cost: 0.090963, total cost: 31.850518
Type: Chunk,cost: 0.104895, total cost: 37.128924
Type: Pos,cost: 0.131085, total cost: 41.965128
Type: Chunk,cost: 0.139911, total cost: 46.549212
Epoch: 18 Training mean loss: 0.101
Epoch: 18 Validation mean loss 3.832
Epoch: 19
Type: Chunk,cost: 0.058159, total cost: 0.893612
Type: Pos,cost: 0.052701, total cost: 4.858626
Type: Pos,cost: 0.063853, total cost: 9.410330
Type: Pos,cost: 0.138485, total cost: 14.452823
Type: Chunk,cost: 0.104896, total cost: 19.135865
Type: Chunk,cost: 0.148165, total cost: 24.792663
Type: Chunk,cost: 0.064885, total cost: 29.803010
Type: Chunk,cost: 0.092821, total cost: 34.713341
Type: Chunk,cost: 0.105477, total cost: 39.322206
Type: Pos,cost: 0.115446, total cost: 43.946787
Epoch: 19 Training mean loss: 0.095
Epoch: 19 Validation mean loss 3.775
Epoch: 20
